address,name
41 Bagsters Rd Shop 17 Salisbury North South Australia 5108 Australia,"PHO LINH - 41 Bagsters Rd, Salisbury North South Australia, Australia - Chinese - Restaurant Reviews - Phone Number - Yelp"
485 Main North Rd Shop 28 Evanston South Australia 5116 Australia,"ASIA BOX - 485 Main North Rd, Evanston South Australia, Australia - Chinese - Restaurant Reviews - Phone Number - Yelp"
100 Phillip Hwy Elizabeth South South Australia 5112 Australia,"GOLDEN SWAN CHINESE TAKE AWAY - 100 Phillip Hwy, Elizabeth South South Australia, Australia - Chinese - Restaurant Reviews - Phone Number - Yelp"
50 Elizabeth Way Elizabeth South Australia 5112 Australia,"RED CHILLI ASIAN FOOD BAR - 50 Elizabeth Way, Elizabeth South Australia, Australia - Chinese - Restaurant Reviews - Phone Number - Yelp"
262 Curtis Rd Munno Para West South Australia 5115 Australia,"QUEEN BEE INDONESIAN AND CHINESE - 262 Curtis Rd, Munno Para West South Australia, Australia - Chinese - Restaurant Reviews - Phone Number - Yelp"
1 Julian Tce Gawler South Australia 5118 Australia,"GAWLER MILL NINE DRAGONS CHINESE RESTAURANT - 1 Julian Tce, Gawler South Australia, Australia - Chinese - Restaurant Reviews - Phone Number - Yelp"
(08) 8522 2177,"GAWLER PALACE CHINESE RESTAURANT - 13 Photos - 38 Murray St, Gawler South Australia, Australia - Chinese - Restaurant Reviews - Phone Number - Yelp"
9 Murray St Gawler South Australia 5118 Australia,"BAMBOO HUT BISTRO - 10 Photos - 9 Murray St, Gawler South Australia, Australia - Chinese - Restaurant Reviews - Phone Number - Yelp"
(08) 8281 5590,"WOKS ON CHINESE TAKEAWAY - 180 Burton Rd, Paralowie South Australia, Australia - Fast Food - Restaurant Reviews - Phone Number - Yelp"
11 George McCullum Rd Smithfield South Australia 5114 Australia,"HOUSE OF THE RED DRAGON RESTAURANT - 11 George McCullum Rd, Smithfield South Australia, Australia - Chinese - Restaurant Reviews - Phone Number - Yelp"
